Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ahlam,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Ahlana,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ahleah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ahlem,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ahna,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-
Aiasha,-,..,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Aibh,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aibha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..
Aibhailia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aibhe,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-,-,..
Aibheen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aibhilin,-,-,..,-,-,-,-,-,-,..,..,-,-,-,-,..,-,..,..,-
Aibhin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aibhle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aibhlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-
Aibhlinn,-,-,-,-,-,-,-,-,-,..,-,..,3,..,..,-,..,..,3,4
Aibhlinn-rose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aibhne,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-
Aibhrean,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Aibrean,-,-,-,-,-,-,-,-,..,-,-,-,..,-,..,-,-,-,-,..
Aibreann,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..
Aicha,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..,..
Aida,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,3,-,..,4
Aida-Mae,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Aideen,6,7,6,3,4,7,3,4,10,..,..,..,8,6,7,5,6,3,..,..
Aidin,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Aiesha,-,-,-,..,..,..,..,-,..,-,-,..,..,-,..,-,-,-,-,-
Aife,..,-,..,..,..,..,-,..,..,-,..,..,..,-,-,-,..,..,-,..
Aifric,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-
Aika,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aila,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,..
